alpha,fixed_point_reward,fixed_point_gap,approval_probability,prob_any_approval,false_approval_probability,true_approval_probability,entry_rate,null_entry_rate,mean_sample_size,participation_threshold,expected_false_approvals,expected_true_approvals,expected_false_negatives,mfdr,pfdr,fdr,sensitivity,specificity,baseline_best_n,baseline_utility,baseline_active,cost_floor,mfdr_bound_action_specific,mfdr_bound_null_entry,mfdr_bound_effective,mfdr_bound_monopoly,pfdr_bound_action_specific,pfdr_bound_null_entry,pfdr_bound_effective,pfdr_bound_monopoly,fdr_bound_action_specific,fdr_bound_null_entry,fdr_bound_effective,fdr_bound_monopoly
0.01,7.381316274404526,-0.0011080492486872373,0.20095854641831482,0.9887439447945385,0.0,0.20095854641831482,0.26064834583170865,0.0,12.951174063109145,0.6461794019933556,0.0,4.019170928366297,8.359917307884963,0.0,0.0,0.0,0.32467422896271525,1.0,0,0.0,False,1.0,0.0,0.0,0.07381316274404526,0.3,0.0,0.0,0.07381316274404526,0.3,0.0,0.0,0.07298231770930858,0.2966231834383615
0.02,6.797945648431778,0.013665041392053823,0.21862731819284514,0.9928027851265991,0.0,0.21862731819284514,0.28332860019578693,0.0,12.58588695794245,0.6362126245847176,0.0,4.372546363856903,8.006541872394356,0.0,0.0,0.0,0.3532203891278696,1.0,0,0.0,False,1.0,0.0,0.0,0.13595891296863558,0.6,0.0,0.0,0.13595891296863558,0.6,0.0,0.0,0.1349803874580463,0.5956816710759595
0.03,6.370479315519333,0.054152299755952704,0.23229577022871112,0.9949431663374015,0.0,0.23229577022871112,0.2988444472810467,0.0,12.403604913572515,0.6295681063122923,0.0,4.645915404574223,7.733172831677036,0.0,0.0,0.0,0.3753035212212962,1.0,0,0.0,False,1.0,0.0,0.0,0.19111437946558,0.8999999999999999,0.0,0.0,0.19111437946558,0.8999999999999999,0.0,0.0,0.19014794583809183,0.8954488497036613
0.04,6.068683862686157,-6.375561367732985e-07,0.24630581896502257,0.9965013278699625,0.0,0.24630581896502257,0.3226545768529725,0.0,12.633008376862069,0.6196013289036545,0.0,4.926116379300451,7.452971856950807,0.0,0.0,0.0,0.39793854646537524,1.0,0,0.0,False,1.0,0.0,0.0,0.2427473545074463,1.0,0.0,0.0,0.2427473545074463,1.0,0.0,0.0,0.24189806110359077,0.9965013278699625
0.05,5.965211391448975,-6.510718506547164e-07,0.2506748072658814,0.9968853684296011,0.0,0.2506748072658814,0.3388504785813739,0.0,11.807864796072009,0.6129568106312292,0.0,5.013496145317628,7.36559209093363,0.0,0.0,0.0,0.4049972057421782,1.0,0,0.0,False,1.0,0.0,0.0,0.29826056957244873,1.0,0.0,0.0,0.29826056957244873,1.0,0.0,0.0,0.29733159778625323,0.9968853684296011
0.060000000000000005,5.733298659324646,-6.860600798574978e-07,0.26101231365036404,0.9976409125658188,0.0,0.26101231365036404,0.36356529978567315,0.0,11.822144593517866,0.6029900332225914,0.0,5.22024627300728,7.158841963243978,0.0,0.0,0.0,0.42169876919692434,1.0,0,0.0,False,1.0,0.0,0.0,0.3439979195594788,1.0,0.0,0.0,0.3439979195594788,1.0,0.0,0.0,0.34318639839006154,0.9976409125658188
0.06999999999999999,5.595767498016357,6.953335693893337e-07,0.2675300122736947,0.9980239556317724,0.0,0.2675300122736947,0.3719028758305624,0.0,11.630001809799438,0.5996677740863787,0.0,5.350600245473895,7.028487990777364,0.0,0.0,0.0,0.4322289447622686,1.0,0,0.0,False,1.0,0.0,0.0,0.39170372486114496,1.0,0.0,0.0,0.39170372486114496,1.0,0.0,0.0,0.3909297009216193,0.9980239556317724
0.08,5.430935472249985,0.0009814992099164144,0.2757097006394835,0.9984214680664931,0.0,0.2757097006394835,0.39716699236242875,0.0,11.485458455538408,0.5897009966777409,0.0,5.5141940127896705,6.864894223461588,0.0,0.0,0.0,0.44544427728059605,1.0,0,0.0,False,1.0,0.0,0.0,0.4344748377799988,1.0,0.0,0.0,0.4344748377799988,1.0,0.0,0.0,0.43378900537425785,0.9984214680664931
0.09,5.281859636306763,-4.2672436517676715e-07,0.28363112806954494,0.9987331239455802,0.0,0.28363112806954494,0.42273687546427713,0.0,11.078574654456062,0.579734219269103,0.0,5.672622561390899,6.70646567486036,0.0,0.0,0.0,0.4582423562325888,1.0,0,0.0,False,1.0,0.0,0.0,0.47536736726760864,1.0,0.0,0.0,0.47536736726760864,1.0,0.0,0.0,0.47476513573296475,0.9987331239455802
0.09999999999999999,5.152754187583923,3.2818399819944943e-07,0.2908048804558516,0.9989641073174927,0.0,0.2908048804558516,0.4141853252996283,0.0,11.388509995723147,0.5830564784053156,0.0,5.816097609117032,6.562990627134226,0.0,0.0,0.0,0.4698324705437525,1.0,0,0.0,False,1.0,0.0,0.0,0.5152754187583923,1.0,0.0,0.0,0.5152754187583923,1.0,0.0,0.0,0.5147416487226246,0.9989641073174927
0.11,5.094042420387268,-7.30786501534908e-07,0.294184427022776,0.9990584904568912,0.0,0.294184427022776,0.4313120649199797,0.0,10.702634737470932,0.5764119601328904,0.0,5.88368854045552,6.495399695795739,0.0,0.0,0.0,0.4752925601762467,1.0,0,0.0,False,1.0,0.0,0.0,0.5603446662425995,1.0,0.0,0.0,0.5603446662425995,1.0,0.0,0.0,0.559817096391902,0.9990584904568912
0.12,5.024306774139404,-9.325664365178454e-07,0.2982986344798787,0.9991623811669955,0.0,0.2982986344798787,0.4744206361317184,0.0,9.937506136132615,0.5598006644518273,0.0,5.965972689597574,6.413115546653685,0.0,0.0,0.0,0.48193958842030526,1.0,0,0.0,False,1.0,0.0,0.0,0.6029168128967285,1.0,0.0,0.0,0.6029168128967285,1.0,0.0,0.0,0.6024117984195112,0.9991623811669955
0.13,4.952700734138489,3.2756283729895586e-07,0.30264097206317925,0.9992601757677536,0.0,0.30264097206317925,0.46577954414565076,0.0,10.104372788508346,0.5631229235880398,0.0,6.052819441263585,6.326268794987674,0.0,0.0,0.0,0.4889551900549787,1.0,0,0.0,False,1.0,0.0,0.0,0.6438510954380036,1.0,0.0,0.0,0.6438510954380036,1.0,0.0,0.0,0.6433747587956401,0.9992601757677536
0.14,4.825860857963562,4.86049468229055e-07,0.3106427825630303,0.9994126641117136,0.0,0.3106427825630303,0.4830644361160314,0.0,9.957583768885454,0.5564784053156147,0.0,6.212855651260606,6.166232584990653,0.0,0.0,0.0,0.5018831381350616,1.0,0,0.0,False,1.0,0.0,0.0,0.6756205201148987,1.0,0.0,0.0,0.6756205201148987,1.0,0.0,0.0,0.6752237039365725,0.9994126641117136
0.15000000000000002,4.745689630508423,1.8665477519164142e-07,0.3159170747430866,0.9994962964508336,0.0,0.3159170747430866,0.4830644361160314,0.0,10.013030125611687,0.5564784053156147,0.0,6.318341494861732,6.060746741389527,0.0,0.0,0.0,0.510404431592864,1.0,0,0.0,False,1.0,0.0,0.0,0.7118534445762635,1.0,0.0,0.0,0.7118534445762635,1.0,0.0,0.0,0.7114948814697442,0.9994962964508336
0.16,4.679210186004639,-9.407357781654468e-07,0.3204255164087764,0.9995586925333294,0.0,0.3204255164087764,0.49170746403243487,0.0,9.653630475264737,0.553156146179402,0.0,6.408510328175528,5.970577908075731,0.0,0.0,0.0,0.5176883956129072,1.0,0,0.0,False,1.0,0.0,0.0,0.7486736297607423,1.0,0.0,0.0,0.7486736297607423,1.0,0.0,0.0,0.7483432344978295,0.9995586925333294
0.17,4.6043287217617035,0.00974680014201823,0.3249667468169067,0.9996140746137141,0.0,0.3249667468169067,0.49170746403243487,0.0,9.456815674010326,0.553156146179402,0.0,6.499334936338133,5.8797532999131255,0.0,0.0,0.0,0.5250253340391665,1.0,0,0.0,False,1.0,0.0,0.0,0.7827358826994897,1.0,0.0,0.0,0.7827358826994897,1.0,0.0,0.0,0.7824338050515991,0.9996140746137141
0.18000000000000002,4.489409923553467,-4.654249865509996e-07,0.3340212425783966,0.9997054170981879,0.0,0.3340212425783966,0.5518978461580645,0.0,8.63388119386024,0.5299003322259136,0.0,6.680424851567932,5.698663384683327,0.0,0.0,0.0,0.5396540297697203,1.0,0,0.0,False,1.0,0.0,0.0,0.8080937862396241,1.0,0.0,0.0,0.8080937862396241,1.0,0.0,0.0,0.8078557356271374,0.9997054170981879
0.19,4.489409923553467,-4.654249865509996e-07,0.3340212425783966,0.9997054170981879,0.0,0.3340212425783966,0.5518978461580645,0.0,8.63388119386024,0.5299003322259136,0.0,6.680424851567932,5.698663384683327,0.0,0.0,0.0,0.5396540297697203,1.0,0,0.0,False,1.0,0.0,0.0,0.8529878854751587,1.0,0.0,0.0,0.8529878854751587,1.0,0.0,0.0,0.8527366098286449,0.9997054170981879
0.2,4.359451532363892,5.350870520004491e-07,0.34400500623289104,0.9997822237569662,0.0,0.34400500623289104,0.5518978461580645,0.0,8.728351913813292,0.5299003322259136,0.0,6.880100124657821,5.498988111593438,0.0,0.0,0.0,0.5557840766099355,1.0,0,0.0,False,1.0,0.0,0.0,0.8718903064727783,1.0,0.0,0.0,0.8718903064727783,1.0,0.0,0.0,0.8717004294774972,0.9997822237569662
0.21000000000000002,4.273284673690796,-4.039145089507201e-07,0.35095629635020303,0.9998240137148453,0.0,0.35095629635020303,0.543356333563685,0.0,9.250527177974408,0.5332225913621262,0.0,7.019125927004061,5.359962309247198,0.0,0.0,0.0,0.5670147746785633,1.0,0,0.0,False,1.0,0.0,0.0,0.8973897814750672,1.0,0.0,0.0,0.8973897814750672,1.0,0.0,0.0,0.8972318531810897,0.9998240137148453
0.22,4.275553822517395,7.190197077733274e-07,0.3507695862765806,0.9998229984252831,0.0,0.3507695862765806,0.5518978461580645,0.0,8.567301697580522,0.5299003322259136,0.0,7.015391725531613,5.363696510719647,0.0,0.0,0.0,0.5667131206794009,1.0,0,0.0,False,1.0,0.0,0.0,0.940621840953827,1.0,0.0,0.0,0.940621840953827,1.0,0.0,0.0,0.940455349406765,0.9998229984252831
0.23,4.202597737312317,4.858043149980062e-07,0.35686975032112794,0.9998534523890995,0.0,0.35686975032112794,0.543356333563685,0.0,8.52691990393885,0.5332225913621262,0.0,7.137395006422559,5.2416932298287,0.0,0.0,0.0,0.576568715741214,1.0,0,0.0,False,1.0,0.0,0.0,0.966597479581833,1.0,0.0,0.0,0.966597479581833,1.0,0.0,0.0,0.9664558270304978,0.9998534523890995
0.24000000000000002,4.202597737312317,4.858043149980062e-07,0.35686975032112794,0.9998534523890995,0.0,0.35686975032112794,0.543356333563685,0.0,8.52691990393885,0.5332225913621262,0.0,7.137395006422559,5.2416932298287,0.0,0.0,0.0,0.576568715741214,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9998534523890995,0.9998534523890995
0.25,4.0702056884765625,4.823617176796802e-07,0.36849420095065183,0.9998982470849748,0.0,0.36849420095065183,0.534790175774873,0.0,9.210735716171733,0.5365448504983389,0.0,7.369884019013036,5.0092042172382225,0.0,0.0,0.0,0.595349502189577,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9998982470849748,0.9998982470849748
0.26,3.988562822341919,-7.272381887801771e-07,0.3760452945616189,0.9999200052870594,0.0,0.3760452945616189,0.5262027093326131,0.0,9.732388004876185,0.5398671096345515,0.0,7.520905891232378,4.858182345018881,0.0,0.0,0.0,0.6075492595010311,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999200052870594,0.9999200052870594
0.27,3.9217615127563477,-5.11164826910715e-07,0.3824563507557693,0.9999349341366549,0.0,0.3824563507557693,0.5262027093326131,0.0,10.177389490204902,0.5398671096345515,0.0,7.649127015115385,4.7299612211358735,0.0,0.0,0.0,0.6179071405853198,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999349341366549,0.9999349341366549
0.28,3.9330317080020905,-0.007565338379537767,0.3820950459298565,0.9999341685313572,0.0044113979517296075,0.3776836479781269,0.6352503971090553,0.01629598529649253,6.985597614313967,0.4966777408637874,0.08822795903459216,7.5536729595625385,4.82541527668872,0.011545289578393106,0.011545289578393106,0.011544529535024254,0.610196228946988,0.9884229129309335,11,0.029279208934169354,True,1.0,0.011703495178191121,0.011941730026658194,1.0,1.0,0.011703495178191121,0.011941730026658194,1.0,1.0,0.011702724719915287,0.011940943885032404,0.9999341685313572,0.9999341685313572
0.29000000000000004,3.9330317080020905,-0.007565338379537767,0.3820950459298565,0.9999341685313572,0.0044113979517296075,0.3776836479781269,0.6352503971090553,0.01629598529649253,6.985597614313967,0.4966777408637874,0.08822795903459216,7.5536729595625385,4.82541527668872,0.011545289578393106,0.011545289578393106,0.011544529535024254,0.610196228946988,0.9884229129309335,11,0.029279208934169354,True,1.0,0.011703495178191121,0.012368220384753131,1.0,1.0,0.011703495178191121,0.012368220384753131,1.0,1.0,0.011702724719915287,0.012367406166640706,0.9999341685313572,0.9999341685313572
0.3,3.778935670852661,-5.793904049866683e-07,0.3969211457513854,0.9999594974822099,0.0,0.3969211457513854,0.6189544118125629,0.0,7.758171455057177,0.5033222591362126,0.0,7.938422915027708,4.440665321223552,0.0,0.0,0.0,0.641276866561191,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999594974822099,0.9999594974822099
0.31,3.680480718612671,1.9570628495557685e-07,0.4075438655915272,0.9999716127049233,0.0,0.4075438655915272,0.6107256683321244,0.0,8.403446811773243,0.5066445182724253,0.0,8.150877311830545,4.228210924420715,0.0,0.0,0.0,0.6584392288247283,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999716127049233,0.9999716127049233
0.32,3.6256952583789825,-0.01653565072891716,0.415600245472339,0.999978412592145,0.0,0.415600245472339,0.6107256683321244,0.0,8.922732618315365,0.5066445182724253,0.0,8.31200490944678,4.067083326804479,0.0,0.0,0.0,0.6714553407177176,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978412592145,0.999978412592145
0.33,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.34,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.35000000000000003,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.36000000000000004,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.37,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.38,3.30130398273468,-2.880588700904241e-07,0.45436346734156546,0.999994528973615,0.026958533878577436,0.42740493346298797,0.6978778374373528,0.07892342562478988,6.9787783743735226,0.4700996677740864,0.5391706775715487,8.54809866925976,3.8309895669914997,0.05933252960742879,0.05933252960742879,0.05933220499759382,0.6905273236705167,0.9292511586164424,10,0.24443685286678418,True,1.0,0.06547716544870208,0.06600641093108536,1.0,1.0,0.06547716544870208,0.06600641093108536,1.0,1.0,0.0654768072214023,0.06600604980826957,0.999994528973615,0.999994528973615
